ParameterIndex,Parameter,Perturbation_pct,BaselineValue,TestValue,Global_R2,Global_RMSE_N,Global_MAE_N,Reference_R2,Reference_RMSE_N,Reference_MAE_N,Reference_Calpha_N_per_deg,Reference_PeakMu,Reference_PeakSA_deg
15,PVY3,-5,0.193546586521998,0.183869257195899,0.997188032905313,78.313227777684,57.927755287474,0.995907456905556,116.060300474054,93.2565534891184,561.635273423459,2.51244225437599,12
15,PVY3,0,0.193546586521998,0.193546586521998,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
15,PVY3,5,0.193546586521998,0.203223915848098,0.997190023609769,78.2855023300254,57.9355054759905,0.995907465964311,116.0601720255,93.2562637579272,561.635273423459,2.51244225437599,12
15,PVY3,10,0.193546586521998,0.212901245174198,0.997190400622964,78.2802503895642,57.9472171618101,0.995907470480308,116.060107990914,93.2561231739365,561.635273423459,2.51244225437599,12
16,PVY4,-10,-0.683947518203744,-0.61555276638337,0.997187911790331,78.3149142844372,57.9428955443825,0.995907461311355,116.060238002081,93.2564054707103,561.635273423459,2.51244225437599,12
16,PVY4,-5,-0.683947518203744,-0.649750142293557,0.997188768657979,78.3029817588409,57.9331502592705,0.995907461375377,116.060237094281,93.2564070342965,561.635273423459,2.51244225437599,12
16,PVY4,0,-0.683947518203744,-0.683947518203744,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
16,PVY4,5,-0.683947518203744,-0.718144894113931,0.99718930892805,78.2954571575031,57.931198387092,0.995907461503407,116.060235278878,93.256410161469,561.635273423459,2.51244225437599,12
16,PVY4,10,-0.683947518203744,-0.752342270024118,0.997188992330473,78.2998666520755,57.9396669938663,0.995907461567415,116.060234371276,93.2564117250554,561.635273423459,2.51244225437599,12
17,Pmu1,-10,-0.0198458644467115,-0.0178612780020404,0.997209040050091,78.0201551101746,57.6781225676084,0.995908531184257,116.045066756394,93.2438141299623,561.635273423459,2.51244225437599,12
17,Pmu1,-5,-0.0198458644467115,-0.0188535712243759,0.997201673162719,78.1230564280691,57.7766982600549,0.995907998403628,116.052622056687,93.2501121722657,561.635273423459,2.51244225437599,12
17,Pmu1,0,-0.0198458644467115,-0.0198458644467115,0.997189234370552,78.2964955986744,57.9288230204863,0.995907461439394,116.060236186547,93.2564085978828,561.635273423459,2.51244225437599,12
17,Pmu1,5,-0.0198458644467115,-0.0208381576690471,0.9971717475838,78.5396733303538,58.1336451352576,0.99590692029154,116.067909134619,93.2628124808408,561.635273423459,2.51244225437599,12
