SweepID,OriginalFullSweepID,Stage2RegionID,RunNumber,ConditionID,SampleCount,FZ_Mean_N,FZ_Median_N,FZ_Std_N,Pressure_Mean_psi,IA_Mean_deg,Speed_Mean_mph,SA_Min_deg,SA_Max_deg,FY_Min_N,FY_Max_N,PeakAbsFY_N,PeakSignedFY_N,SA_AtPeak_deg,MuY_Peak,RawCorneringSlope_N_per_deg,CorneringStiffness_N_per_deg,CorneringStiffness_N_per_rad,Stiffness_R2,ZeroSlipFY_N,PositivePeakFY_N,NegativePeakFY_N,SymmetryRatio,PeakStatus,PeakBoundaryDistance_deg,LoadQC,StiffnessQC
56,56,56,4,8,525,659.33220952381,658.67,14.5934752123273,8.10940800726457,1.99247619047619,24.9889455105991,-10.468,10.439,-1769.99,1712.18,1769.99,-1769.99,10.141,2.68451923693875,-438.922211673424,438.922211673424,25148.390263435,0.999170219016859,95.7522742239746,1769.99,1712.18,1.03376397341401,BOUNDARY_LIMITED,0.298,NORMAL,GOOD
57,57,57,4,6,526,211.230608365019,211.585,17.3418790548486,8.10459573233297,1.99397718631179,24.9887260111973,-10.478,10.488,-740.6,692.95,740.6,-740.6,7.667,3.50612065993864,-228.095947379884,228.095947379884,13068.9351089054,0.994047016497455,18.2099541541918,740.6,692.95,1.06876398008514,RESOLVED,2.821,LOW_LOAD,GOOD
58,58,58,4,10,526,1092.90057034221,1082.205,38.6283172723475,8.11169872116191,1.99308745247148,24.9891985368187,-10.472,10.499,-2655.26,2540.27,2655.26,-2655.26,9.973,2.42955312866988,-509.8974030335,509.8974030335,29214.9691785007,0.999717643892516,152.054409426596,2655.26,2540.27,1.04526684171368,BOUNDARY_LIMITED,0.526,NORMAL,GOOD
59,59,59,4,7,526,436.140285171103,438.305,14.7431459883163,8.10848086869165,1.99021482889734,24.9887614506189,-10.485,10.49,-1271.91,1188,1271.91,-1271.91,9.639,2.9162864409579,-352.180580906229,352.180580906229,20178.4609123926,0.998080637046197,58.8806702206164,1271.91,1188,1.07063131313131,RESOLVED,0.851000000000001,NORMAL,GOOD
60,60,60,4,14,525,876.663847619048,872.14,20.3631478911735,8.10081072269643,3.99254476190476,24.9899988827154,-10.459,10.464,-2178.52,2093.48,2178.52,-2178.52,10.379,2.48501179319382,-459.733458459126,459.733458459126,26340.7868706609,0.998848220908851,256.400841810758,2178.52,2093.48,1.04062135773927,BOUNDARY_LIMITED,0.0850000000000009,NORMAL,GOOD
61,61,61,4,13,526,667.303783269962,667.615,13.3923508211497,8.10623085359677,3.99197718631179,24.9912776495532,-10.463,10.49,-1711.7,1619.37,1711.7,-1711.7,8.87,2.56509859963962,-407.522371665928,407.522371665928,23349.3119536194,0.998463994198998,178.609678353056,1711.7,1619.37,1.0570160000494,RESOLVED,1.62,NORMAL,GOOD
62,62,62,4,11,526,216.718288973384,217.53,15.677842627344,8.10816377097607,3.99107414448669,24.9939828587362,-10.477,10.49,-636.09,598.15,636.09,-636.09,7.841,2.93510069230069,-194.271377172209,194.271377172209,11130.9299921617,0.995879937205584,25.8476530553,636.09,598.15,1.06342890579286,RESOLVED,2.649,LOW_LOAD,GOOD
63,63,63,4,15,525,1099.84666666667,1087.66,36.3601386751807,8.09030446523735,3.9926780952381,24.990993076623,-10.453,10.465,-2601.79,2459.35,2601.79,-2601.79,10.429,2.36559338574468,-486.198231669898,486.198231669898,27857.106681409,0.999070079852969,317.186744144874,2601.79,2459.35,1.05791774249294,BOUNDARY_LIMITED,0.0359999999999996,NORMAL,GOOD
64,64,64,4,12,527,443.380910815939,443.15,14.1064348342015,8.1065086836223,3.99266034155598,24.9877645291535,-10.482,10.497,-1190.87,1098.41,1190.87,-1190.87,9.677,2.68588468955166,-320.729020757557,320.729020757557,18376.4192567718,0.998389719114671,94.6056936903017,1190.87,1098.41,1.08417621835198,RESOLVED,0.82,NORMAL,GOOD
65,65,65,4,35,526,1084.38159695817,1081.315,28.520891499409,12.0894579438819,-0.00174334600760456,24.9909586947587,-10.493,10.488,-2477.38,2431.88,2477.38,-2477.38,10.26,2.28460166324231,-561.934600235178,561.934600235178,32196.4809558468,0.998881095623378,-47.7370615588575,2477.38,2431.88,1.0187098047601,BOUNDARY_LIMITED,0.228,NORMAL,GOOD
