Pressure_psi,Camber_deg,Fz_N,Measured_Fy_peak_N,MF_Fy_peak_N,Fy_error_pct,Measured_mu,MF_mu,mu_error_pct,Measured_peak_SA_deg,MF_peak_SA_deg,Peak_SA_error_deg,Measured_Calpha_N_per_deg,MF_Calpha_N_per_deg,Calpha_error_pct
12.2919482729354,0,863.47,2575.04,2088.84651222501,-18.8810071989168,2.37949826264358,2.41913038348178,1.66556628598545,9,9.85,0.85,NaN,-524.623084691202,NaN
12.2919482729354,2,672.39,2646.5,1703.27993390829,-35.6402821119103,2.45139025833169,2.5331726139715,3.33616221904474,11,9.73,-1.27,NaN,-456.050647881149,NaN
12.2919482729354,4,687.71,2495.15,1700.27081869715,-31.8569697734747,2.39433898067987,2.47236599540089,3.25881236327132,8,10.42,2.42,NaN,-422.332425847975,NaN
12.3282077073688,0,870.88,2590.75,2101.83689055812,-18.8714893155218,2.38000954636412,2.4134632676811,1.40561290470829,9.4,9.87,0.470000000000001,NaN,-525.762950344199,NaN
12.3282077073688,2,662.97,2729.19,1682.32546781891,-38.358067125451,2.46439662885512,2.53755896619591,2.96877282188067,11.2,9.72,-1.48,NaN,-452.264032694994,NaN
12.3282077073688,4,846.225,2429.86,2000.45920328669,-17.6718328098456,2.18306401013199,2.36398026917981,8.28726314062055,6.6,10.85,4.25,NaN,-463.111840315355,NaN
12.3644671418023,-0,862.07,2228.21,2083.58386565515,-6.49068688969393,2.309601521229,2.41695438381471,4.64811187553205,6.2,9.85,3.65,NaN,-523.614811181762,NaN
12.3644671418023,2,657.91,2503.42,1670.55975038104,-33.2688981321135,2.33720263692362,2.53919191132684,8.64235181032889,7.4,9.71,2.31,NaN,-450.053464375665,NaN
12.3644671418023,4,867.63,2605.975,2037.39812110469,-21.8182015903955,NaN,2.34823383366722,NaN,7.6,10.92,3.32,NaN,-466.892148025104,NaN
13.8873633880066,0,645.03,1775.315,1598.60924342753,-9.95348749785106,NaN,2.47834867126727,NaN,4,9.35,5.35,NaN,-445.132024486199,NaN
13.8873633880066,2,1075.235,1899.36,2391.75830882368,25.9244329049619,NaN,2.22440518474909,NaN,4.6,11.03,6.43,NaN,-520.366927203719,NaN
13.9236228224401,-0,667.645,2428.14,1645.47866753609,-32.2329574268333,2.35500394011032,2.46460119904454,4.65380363351256,7.4,9.39,1.99,NaN,-453.424626204685,NaN
13.9236228224401,2,869.25,2008.57,2040.75752910464,1.60250970116262,1.83565764778779,2.34772220777065,27.8954281371568,5,10.3,5.3,NaN,-494.694646363317,NaN
13.9236228224401,4,860.625,2256.895,1975.56043597864,-12.4655583897949,2.06922794216513,2.29549505996066,10.9348570635854,7.8,10.95,3.15,NaN,-451.902440117769,NaN
13.9598822568735,0,860.84,2568.77,2029.29954031992,-21.0011195895341,2.35488150179475,2.35734810222565,0.104744142285521,10.4,9.89,-0.51,NaN,-507.531508396328,NaN
13.9598822568735,2,681.13,2003.005,1676.44973336566,-16.3032676720398,2.30908640919778,2.46127719138147,6.59095223017498,8.2,9.8,1.6,NaN,-444.724171899846,NaN
13.9598822568735,4,678,2143.765,1636.6197653071,-23.6567550404498,2.27838355954298,2.41389345915502,5.94763331417382,8.4,10.45,2.05,NaN,-405.994771120415,NaN
13.996141691307,-0,849.96,2350.64,2007.64816324567,-14.5914234742168,2.39165875460251,2.3620501708853,-1.2379936585949,9.4,9.86,0.459999999999999,NaN,-504.941509106703,NaN
13.996141691307,2,664.36,1974.27,1641.12796819371,-16.8741880191811,2.42565956113987,2.47023897915846,1.83782665683055,10.8,9.77,-1.03,NaN,-438.499452290737,NaN
13.996141691307,4,675.145,2050.01,1630.12617842685,-20.4820377253357,2.31871632212262,2.41448307908204,4.13016271312374,8.8,10.44,1.64,NaN,-404.789238237682,NaN
14.0324011257404,-0,679.03,2399.58,1666.60962434423,-30.5457778301106,2.37209842169769,2.45439763242306,3.46946863471502,10.8,9.42,-1.38,NaN,-456.597037841737,NaN
14.0324011257404,2,656.66,2072.13,1624.33941846247,-21.610158703244,2.46193797080979,2.47363844068844,0.475254454717238,10,9.75,-0.25,NaN,-435.389272656838,NaN
14.0324011257404,4,668.53,1971.03,1616.2106953521,-18.0017201487495,2.28882223297946,2.41755896571897,5.62458415881113,7.8,10.43,2.63,NaN,-402.347515179845,NaN
14.0686605601738,-0,850.74,2319.53,2006.99065958044,-13.4742529917508,2.37583289143015,2.35911166699631,-0.703804737031513,8.6,9.86,1.26,NaN,-504.387875928385,NaN
14.0686605601738,2,664.98,2061.45,1640.65167032957,-20.4127351946655,2.43508909992316,2.46721957100901,1.31947825181673,9.2,9.77,0.57,NaN,-438.1018450036,NaN
