ConditionID,Pressure_psi,Camber_deg,FZ_N,PeakFY_N,Mu_y,PeakSA_deg,PeakFY_Pos_N,PeakFY_Neg_N,PeakSA_Pos_deg,PeakSA_Neg_deg,Mu_Pos,Mu_Neg,CAlpha_NperDeg,Samples
32,12.091793049,2,900.24,2055.41666666667,2.28318744631061,-10.245,2022.14952380952,2055.41666666667,6.951,-10.245,2.24443873624747,2.28318744631061,523.548897236203,107
32,12.091793049,2,1085.68,2763.59857142857,2.54550012105645,9.064,2763.59857142857,2586.18666666667,9.064,-10.138,2.54550012105645,2.37058221427808,570.118075887452,1103
32,12.091793049,2,1105.21,2763.38333333333,2.50032422194274,9.231,2763.38333333333,2584.20285714286,9.231,-10.249,2.50032422194274,2.33930139418557,558.291582757427,1396
33,12.091793049,4,420.77,1140.21666666667,2.70983355910989,10.796,1140.21666666667,1121.23476190476,10.796,-7.755,2.70983355910989,2.52797953217316,294.51084006576,2473
33,12.091793049,4,647.91,1698.73428571429,2.62186767562514,10.226,1698.73428571429,1623.3480952381,10.226,-10.212,2.62186767562514,2.42965261058774,393.216731589095,2470
33,12.091793049,4,857.56,2217.91761904762,2.58631188377212,10.524,2217.91761904762,2078.76238095238,10.524,-10.025,2.58631188377212,2.36806942227126,468.113884645378,2189
33,12.091793049,4,905.01,2051.65476190476,2.2669967866706,-11.509,1995.6319047619,2051.65476190476,7.366,-11.509,2.21667914955559,2.2669967866706,473.640654091075,307
33,12.091793049,4,1095.86,2709.16428571429,2.47218101373742,10.262,2709.16428571429,2537.83714285714,10.262,-10.085,2.47218101373742,2.31467894570201,542.047464512643,928
33,12.091793049,4,1101.98,2709.47476190476,2.45873315478027,10.212,2709.47476190476,2537.85904761905,10.212,-10.126,2.45873315478027,2.30486068134217,525.212873441697,1570
41,14.094763686,0,423.11,1131.47904761905,2.67419594814362,11.667,1131.47904761905,1059.58,11.667,-11.725,2.67419594814362,2.5448650206552,316.918893983379,1221
41,14.094763686,0,657.85,1648.30523809524,2.50559434232004,11.766,1648.30523809524,1548.42476190476,11.766,-11.715,2.50559434232004,2.40293108506458,417.479915369358,1234
41,14.094763686,0,882.44,2148.38476190476,2.43459585003486,10.215,2148.38476190476,2012.17333333333,10.215,-10.879,2.43459585003486,2.3367475709364,505.638125578744,1082
41,14.094763686,0,901.52,2115.62380952381,2.34672975588319,11.597,2115.62380952381,1984.79190476191,11.597,-10.167,2.34672975588319,2.20260778901788,511.304073914456,167
41,14.094763686,0,1099.65,2672.60571428571,2.43041487226455,9.58,2672.60571428571,2479.57047619048,9.58,-10.542,2.43041487226455,2.30571924510924,581.287210568225,1296
41,14.094763686,0,1110.1,2673.35571428571,2.40821161542718,9.923,2673.35571428571,2464.95142857143,9.923,-11.209,2.40821161542718,2.2376711680342,577.065194652631,1202
42,14.102015571,2,414.51,1152.54952380952,2.78051078094503,11.813,1152.54952380952,1098.89380952381,11.813,-7.965,2.78051078094503,2.54632915359118,310.562549832409,1223
42,14.102015571,2,647.91,1667.54142857143,2.57372386376415,11.708,1667.54142857143,1523.17142857143,11.708,-10.313,2.57372386376415,2.33622416112677,412.810244804703,1233
42,14.102015571,2,871.58,2141.80333333333,2.45738008367945,11.665,2141.80333333333,1968.01857142857,11.665,-10.159,2.45738008367945,2.27099155474743,498.093111894314,1171
42,14.102015571,2,901.11,1939.44904761905,2.15228889660424,-11.746,NaN,1939.44904761905,NaN,-11.746,NaN,2.15228889660424,NaN,79
42,14.102015571,2,1098.83,2635.34619047619,2.39832020465057,10.661,2635.34619047619,2420.22523809524,10.661,-9.877,2.39832020465057,2.22336821623021,573.438957509271,563
42,14.102015571,2,1103.18,2636.0219047619,2.38947579249253,10.629,2636.0219047619,2419.06666666667,10.629,-9.937,2.38947579249253,2.19587766118393,563.762488212856,686
43,14.087511801,4,420.24,1106.62857142857,2.63332517473009,12.139,1106.62857142857,1035.00047619048,12.139,-8.108,2.63332517473009,2.37390875063757,281.65109718131,1233
43,14.087511801,4,643.19,1640.67428571429,2.55083923213092,11.695,1640.67428571429,1486.91380952381,11.695,-10.067,2.55083923213092,2.24135334567954,380.241715928115,1210
43,14.087511801,4,856.63,2128.58047619048,2.48483064589201,11.071,2128.58047619048,1922.83142857143,11.071,-9.768,2.48483064589201,2.21058302032745,461.48948180443,1083
43,14.087511801,4,902.22,1885.6219047619,2.08998016532764,7.277,1885.6219047619,1877.74428571429,7.277,-12.064,2.08998016532764,2.07256543677073,NaN,166
43,14.087511801,4,1094.23,2599.3719047619,2.3755260820503,11.296,2599.3719047619,2344.0819047619,11.296,-9.499,2.3755260820503,2.13714240562522,543.87716360646,416
43,14.087511801,4,1102.14,2599.57428571429,2.35866068350145,11.244,2599.57428571429,2344.78571428571,11.244,-9.525,2.35866068350145,2.12540174605764,525.906529755026,834
